method,training_step,distillation_loss,student_nll,teacher_student_kl,response_tokens,style_error_sum,style_error_count,style_error_per_token,task_error_sum,task_error_count,task_error_per_token
Privileged-SD,1,0.02182911115232855,0.19340990763157606,0.02182911115232855,4096.0,23.883296966552734,118.0,0.2024008217504469,2.0566253662109375,147.0,0.013990648749734269
Privileged-SD,2,0.006540843885886716,0.09505459293723106,0.006540843885886716,4096.0,5.8620758056640625,59.0,0.0993572170451536,9.027519226074219,1227.0,0.007357391382293577
Privileged-SD,3,0.005889393603865756,0.1400402570143342,0.005889393603865756,4096.0,2.5839309692382812,45.0,0.05742068820529514,12.846735000610352,1475.0,0.008709650847871425
Privileged-SD,4,0.011448284407379106,0.21109999483451247,0.011448284407379106,4096.0,10.515907287597656,86.0,0.12227799171625181,5.691934585571289,598.0,0.009518285260152658
Privileged-SD,5,0.010261164970870595,0.1315949158743024,0.010261164970870595,4096.0,5.5622406005859375,59.0,0.0942752644167108,15.767829895019531,1687.0,0.009346668580331672
Privileged-SD,6,0.030317336746520596,0.24552086554467678,0.030317336746520596,4096.0,11.340715408325195,89.0,0.12742376863286736,11.720701217651367,340.0,0.03447265064015108
Privileged-SD,7,0.014140837549348362,0.2139062681235373,0.014140837549348362,4096.0,5.897241592407227,61.0,0.09667609167880699,6.838949203491211,419.0,0.016322074471339404
Privileged-SD,8,0.020389556215377524,0.19470671890303493,0.020389556215377524,4096.0,16.80944061279297,101.0,0.1664301050771581,19.053617477416992,924.0,0.020620798135732674
Privileged-SD,9,0.016263246743619675,0.24338744224326522,0.016263245926446797,4093.0,7.258848190307617,76.0,0.09551116039878443,10.39748764038086,340.0,0.030580846001120175
Privileged-SD,10,0.015329110974562354,0.2322557345032692,0.015329110974562354,4096.0,8.402997970581055,90.0,0.09336664411756727,6.626331329345703,333.0,0.019898892880918027
Privileged-SD,11,0.010956093194181449,0.1661003939807415,0.010956093194181449,4096.0,8.819377899169922,107.0,0.08242409251560674,5.901096343994141,721.0,0.00818459964492946
Privileged-SD,12,0.013840521642123349,0.19481306849047542,0.013840521642123349,4096.0,10.082685470581055,94.0,0.10726261138916016,13.91408920288086,927.0,0.01500980496535152
Privileged-SD,13,0.017428048035071697,0.1818474737074603,0.017428048184092583,3578.0,9.807666778564453,92.0,0.1066050736800484,12.995929718017578,490.0,0.02652230554697465
Privileged-SD,14,0.011579891288420185,0.22964676236733794,0.011579891288420185,4096.0,10.988998413085938,123.0,0.0893414505128938,3.2554283142089844,415.0,0.007844405576407192
