delta_difference,estimated_shrink_ratio,privileged_estimated_mean_abs_delta,privileged_estimated_mean_delta,privileged_estimated_total_abs_delta,privileged_estimated_total_signed_delta,projection_alpha_weighted_mean,token,token_level_logged,trust_region_count,trust_region_mean_abs_delta,trust_region_mean_delta,trust_region_total_abs_delta,trust_region_total_signed_delta
-0.0005011064856845632,0.9843749999999999,0.06756703840401738,0.03207081508381179,539.6579357328868,256.1496000744048,0.984375,the,true,7987.0,0.06651130342895462,0.03156970859812723,531.2257804870605,252.1472625732422
1.2404899130067206e-05,0.984375,0.022982427907489156,-0.000793913544324302,315.70961216517856,-10.905990358382937,0.984375,",",true,13737.0,0.02262332747143464,-0.0007815086451942348,310.77664947509766,-10.735584259033203
-0.0002763868656162835,0.984375,0.04547430901519726,0.017688759399442144,313.7727322048611,122.0524398561508,0.984375,.,true,6900.0,0.044763772936834804,0.01741237253382586,308.87003326416016,120.14537048339844
0.00028897755969024483,0.9843750000000002,0.04388224495677274,-0.01849456382017589,266.9356960720486,-112.50243171812996,0.984375,is,true,6083.0,0.04319658487932317,-0.018205586260485646,262.76482582092285,-110.74458122253418
6.5615894372038e-05,0.984375,0.03796159404019664,-0.004199417239810445,239.6135815817212,-26.50672161768353,0.984375,$,true,6312.0,0.03736844413331857,-0.004133801345438407,235.86961936950684,-26.092554092407227
-0.00025844627679125556,0.9843749999999999,0.04966400437239752,0.01654056171464025,172.1851031591022,57.34612746465774,0.984375,a,true,3467.0,0.0488880043040788,0.016282115437848993,169.4947109222412,56.45009422302246
0.0006227649724973999,0.984375,0.12274464730750727,-0.03985695823983372,154.16727701822913,-50.06033954923115,0.984375,if,true,1256.0,0.1208267621933275,-0.03923419326733632,151.75841331481934,-49.278146743774414
0.0011322561829153477,0.9843750000000002,0.11663918573098256,-0.0724643957065832,142.4164457775297,-88.47902715773807,0.984375,Therefore,true,1221.0,0.11481669845393601,-0.07133213952366785,140.19118881225586,-87.09654235839844
0.001429324668824783,0.984375,0.12089453459696621,-0.09147677880478587,132.13772631448407,-99.98411923363096,0.984375,we,true,1093.0,0.11900555749388866,-0.09004745413596109,130.0730743408203,-98.42186737060547
-0.0005926541136511837,0.984375,0.1074445518936127,0.0379298632736758,127.53668309771827,45.02274770585317,0.984375,But,true,1187.0,0.10576573077027498,0.037337209160024615,125.5439224243164,44.31926727294922
-0.0007631049780028043,0.9843750000000002,0.08990662201229319,0.048838718592180086,121.01431322854663,65.7369152250744,0.984375,for,true,1346.0,0.0885018310433511,0.04807561361417728,119.12346458435059,64.70977592468262
-0.00023901531265585127,0.984375,0.05121881089435276,0.015296980009974434,118.05935911148312,35.25953892299107,0.984375,that,true,2305.0,0.05041851697412851,0.015057964697318583,116.21468162536621,34.708608627319336
6.207013937842461e-05,0.9843749999999997,0.08560761494609476,-0.003972488920219104,118.05290101066467,-5.478062220982144,0.984375,in,true,1379.0,0.08426999596256203,-0.003910418780840679,116.20832443237305,-5.392467498779297
0.0007092088201045427,0.984375,0.12090040843043691,-0.04538936448669068,104.09525165860617,-39.08024282304068,0.984375,Wait,true,861.0,0.1190113395487113,-0.04468015566658614,102.46876335144043,-38.469614028930664
-0.0016035251154800922,0.9843749999999999,0.12247098860623375,0.10262560739072488,102.50821746341765,85.89763338603672,0.984375,this,true,837.0,0.12055737940926135,0.10102208227524478,100.90652656555176,84.55548286437988
-0.0007920905071898132,0.9843750000000006,0.12683323582371434,0.05069379246014985,93.8565945095486,37.51340642051089,0.984375,So,true,740.0,0.1248514665139688,0.04990170195296004,92.39008522033691,36.92725944519043
