query_id,alpha,correct_answer_gain_retained,distribution_movement_retained,original_correct_answer_gain_retained,original_distribution_movement_retained,redistribution_rule,redistributed,synthetic,transform_seed
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.0,0,0,0.0,0.0,unchanged,false,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.0078125,0.089844603977936255,0.036151780722824656,0.08984460397793625,0.036151780722824656,unchanged,false,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.015625,0.17626440562193316,0.075913053671234271,0.17626440562193316,0.07591305367123427,unchanged,false,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.03125,0.33736122077536418,0.16597512417144994,0.3373612207753642,0.16597512417144994,unchanged,false,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.0625,0.60300710034385685,0.3794919765353465,0.6030071003438568,0.3794919765353465,unchanged,false,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.125,0.88396445862131467,0.76562562418624291,0.8839644586213147,0.7656256241862429,unchanged,false,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.1875,0.60551338634119911,0.5756950053588703,0.9563015674640827,0.9092086953395775,"sample_60pct_[80,100]^2_to_[40,100]^2",true,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.25,0.63376797709535115,0.61484554015527881,0.9724262277780344,0.9433924573146936,"sample_60pct_[80,100]^2_to_[40,100]^2",true,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.375,0.4727175573293691,0.4632385710515563,0.981467587944722,0.9617870881325183,"sample_60pct_[80,100]^2_to_[40,100]^2",true,true,20260811
deepmath:0934fcf06d840aa6288857d85546f69fa5b08f21e2d3a94c806e8e0a520f8b1b,0.5,0.42082269421153273,0.41476359802916979,0.9868714271714095,0.9726622388859231,"sample_60pct_[80,100]^2_to_[40,100]^2",true,true,20260811
