query_id,answer_tokens,raw_mean_gain,projected_mean_gain,raw_worst_wrapper_gain,projected_worst_wrapper_gain,raw_mean_kl,projected_mean_kl,mean_selected_alpha,raw_wrapper_variance,projected_wrapper_variance,all_wrappers_positive_raw,all_wrappers_positive_projected
deepmath:080d513ba3eb59217fa73734372e81f7d68c2aba13c6724482a83e60b35e2eaa,10,1.560589599609375,0.17962506612141926,1.5595882415771485,0.1753101348876953,1.506673326833896,0.007165872719032106,0.015625,1.717828871379589e-05,2.0012451460936086e-11,True,True
deepmath:080ec55d5b5aadbd8c1c50f5cac6974196f14bc506f9c8fc15bd4116d93cb15b,5,1.8459945678710936,0.3513519287109375,1.845928955078125,0.34359207153320315,1.845667465544863,0.010474172545143635,0.015625,0.00020242011435076793,7.970834429590054e-11,True,True
deepmath:080ee29bd19e97cbb144d1fc95bfe3ed11bb7e21a4cdecb976d18538a0e07062,5,4.093674723307291,1.393972651163737,4.093610382080078,1.3709430694580078,4.092679143449185,0.00962716280992878,0.05859375,0.0009083520705833402,4.003622685492022e-10,True,True
deepmath:0810be4f10ebc7f0aa7fdefa8e24a24e318db91f9fc96490b2d04dca027e667c,9,3.7211201985677085,0.0,3.7209896511501737,0.0,3.7167803245340743,0.0,0.0,0.00027257052831853023,0.0,True,False
deepmath:081c87e39fe58834db24f07c7677cc69137820d6088a26cf9edce4033abd38ef,5,4.97923583984375,0.45939420064290365,4.97862548828125,0.4521770477294922,4.973365616754035,0.014080253865133128,0.015625,9.999232217676884e-05,2.4846455630307805e-10,True,True
deepmath:081e8c90228c28c408dd2181520d12778f8f166787dd73ddb85e5035881061d6,7,4.1254168919154575,0.33614540100097656,4.125267028808594,0.0,4.115506839141398,0.008879027758596402,0.010416666666666666,3.375850800841461e-05,1.1045800969911396e-08,True,False
deepmath:08228ea5ece63c6ad14aa62b0d517147956ba50351ff8320d7283c1e1b804f22,5,1.6427688598632812,0.4717002868652344,1.6425338745117188,0.4667808532714844,1.6283388773569187,0.012414877052060546,0.0625,7.575353196430718e-06,8.503769902427825e-11,True,True
deepmath:08237df9111ec7bc6e7d12d8fa5d1a4c86368a381c632133f6202496f2b0a249,5,0.8100382486979166,0.213104248046875,0.8099388122558594,0.2109161376953125,0.8097190845922052,0.004494739625855118,0.017578125,6.823966412990299e-07,2.299294300263327e-12,True,True
deepmath:0823d82e5758b2cf8afee24cf0044c20302c1d7fcbdd81c5c079a4504fa6e9ab,5,0.0005294799804687499,0.0005294799804687499,0.0005279541015625,0.0005279541015625,0.0005288945457140315,0.0005288945457140315,1.0,5.81707550938062e-12,5.81707550938062e-12,True,True
deepmath:0829bf8886ff37e1eacfed3e2c31940efe6507066f1cbaac463673753e4ed5ab,5,0.6241190592447917,0.17777226765950518,0.623565673828125,0.17443618774414063,0.6279593518810652,0.008837063518216904,0.015625,9.294722501961192e-07,4.7300060194418983e-11,True,True
deepmath:082a5217242e004c34e2097d7185c79aae7788024df772811554d5d7802147b2,5,1.2342310587565104,0.22625401814778648,1.2341690063476562,0.22204132080078126,1.2334557910849708,0.008286743983679408,0.015625,7.654271047496614e-05,1.2531722306903643e-11,True,True
deepmath:082a9c767c6c74fbd4a5b129f564bb625b97b41605d0a33701e8ee5cfad24cd0,5,2.5135472615559897,0.3526593526204427,2.5133293151855467,0.34116287231445314,2.509096845737004,0.004069874280810533,0.015625,0.0010617477401231362,1.0096190622189189e-11,True,True
deepmath:082b58beae49832ffcb5e643d665f46bf811ff0b4feefc8795f0945613d09b80,5,2.2905047098795577,0.3787676493326823,2.290427398681641,0.3726188659667969,2.2863996326641156,0.012043653938767225,0.015625,6.25032565929379e-05,2.6400741818294526e-11,True,True
deepmath:082f437c07fcfd9c2b56c14a7d540ecdf25be6d0bb4e04eece4d2b0b7d786e88,5,1.6329821268717446,0.24178492228190104,1.63291015625,0.227783203125,1.6244470281265937,0.010066938685395573,0.015625,9.58264532342509e-05,3.9246789831201026e-10,True,True
deepmath:082f726ac0f7a5bb92e3e02c5502a334de46b80661ef53b7ba8447d79922cf79,8,2.7454420725504556,0.33533620834350586,2.7454304695129395,0.33420705795288086,2.744225542183233,0.006267741090650988,0.015625,7.269592274114596e-05,1.5386591661036037e-13,True,True
deepmath:082f7b450af2108b03b9887129b2e9f5fe92eb387a7d7af312a3bba17857d9af,5,1.1854817708333334,0.2864061991373698,1.1854812622070312,0.283087158203125,1.1849392317610556,0.010926512445127821,0.015625,1.2121116931551796e-05,2.984959562006134e-11,True,True
deepmath:0830d784a2050184469c978eb4a139720aba12e9b32722b989531599e8a99508,6,3.085396872626411,2.017965316772461,3.0853919982910156,2.0052947998046875,3.084876903708414,0.005319732911184125,0.234375,0.00029644480407598406,3.089380098301279e-11,True,True
deepmath:08316d2859aaaa8f964c71647a252bb94e3bf1902ad854990b28629de26aabe0,6,5.067657470703125,0.7350502014160156,5.067656834920247,0.6971829732259115,5.067647708759889,0.008272030054991853,0.029296875,0.0007614148565576778,8.878732394811027e-10,True,True
deepmath:0832b69bb1392ccc3b6b68035fb353215dc4fabfc7ef5dcb2ae9bf3ace968e8f,5,1.5325531005859376,0.2824722290039063,1.5324394226074218,0.2654441833496094,1.531239128492757,0.008030865431867025,0.015625,0.0006289128758547331,9.267836169904024e-11,True,True
deepmath:08358aced7193e46c407b6146433dcd80647013740f437d6fc645339ed2d074a,5,1.0134518941243489,0.3312060038248698,1.0127548217773437,0.3271392822265625,1.0152378801965714,0.008289570862046779,0.03125,4.840881996750583e-05,2.8181468074250524e-11,True,True
deepmath:0835b6c45a6edd80b041dd9cb4c4efb140306ced761e4f9b2988538654bc6426,5,3.5845926920572917,0.5179203033447265,3.584539794921875,0.5143733978271484,3.5836545955719656,0.009685117123636454,0.015625,1.0526861252531302e-05,1.9237166302639878e-10,True,True
deepmath:0836dc78f8db0d7dc9e1dd5383b63c1ae8355e4fe048b44a8e0becbb93add456,5,1.055907948811849,0.29222539265950526,1.0555068969726562,0.2782249450683594,1.0483108182371172,0.012335550426071979,0.056640625,1.804502904115458e-05,1.1026063184792728e-09,True,True
