method,episode,query_id,problem_sha256,response_tokens,optimizer_step,episode_seconds,style_error_sum,style_token_count,style_error_per_token,task_error_sum,task_token_count,task_error_per_token,other_error_sum,other_token_count,other_error_per_token,psr,alpha,achieved_kl,mean_teacher_student_kl,partition_version,error_definition
privileged,1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,4096,True,123.10129424603656,23.883296966552734,118,0.2024008217504469,2.0566253662109375,147,0.013990648749734269,242.9292392730713,3831,0.06341144329759105,14.46686464444983,N/A,N/A,0.02182911115232855,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,4096,True,123.39935970801162,5.8620758056640625,59,0.0993572170451536,9.027519226074219,1227,0.007357391382293577,85.71121978759766,2810,0.030502213447543648,13.504408272240127,N/A,N/A,0.006540843885886716,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,3,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,4096,True,122.95483366097324,2.5839309692382812,45,0.05742068820529514,12.846735000610352,1475,0.008709650847871425,96.41000556945801,2576,0.037426244398081523,6.592765796039727,N/A,N/A,0.005889393603865756,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,4,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,4096,True,122.60077837802237,10.515907287597656,86,0.12227799171625181,5.691934585571289,598,0.009518285260152658,171.85326766967773,3412,0.0503673117437508,12.846640794446065,N/A,N/A,0.011448284407379106,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,5,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,4096,True,122.37005208601477,5.5622406005859375,59,0.0942752644167108,15.767829895019531,1687,0.009346668580331672,126.6236743927002,2350,0.05388241463519157,10.086509819669393,N/A,N/A,0.010261164970870595,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,6,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,4096,True,122.45013941999059,11.340715408325195,89,0.12742376863286736,11.720701217651367,340,0.03447265064015108,304.80620765686035,3667,0.08312140923284983,3.696372813422534,N/A,N/A,0.030317336746520596,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,7,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,4096,True,122.77294663398061,5.897241592407227,61,0.09667609167880699,6.838949203491211,419,0.016322074471339404,206.93014907836914,3616,0.057226258041584384,5.923027238269528,N/A,N/A,0.014140837549348362,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,8,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,4096,True,124.56888836302096,16.80944061279297,101,0.1664301050771581,19.053617477416992,924,0.020620798135732674,222.85212326049805,3071,0.07256663082399806,8.070982703077837,N/A,N/A,0.020389556215377524,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,9,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,4093,True,124.530677510018,7.258848190307617,76,0.09551116039878443,10.39748764038086,340,0.030580846001120175,208.87574005126953,3677,0.05680602122688864,3.12323473311647,N/A,N/A,0.016263245926446797,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
privileged,10,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,4096,True,125.10264804196777,8.402997970581055,90,0.09336664411756727,6.626331329345703,333,0.019898892880918027,223.76341819763184,3673,0.06092115932415786,4.69205219990409,N/A,N/A,0.015329110974562354,rlcsd-style-task-v1,abs_teacher_minus_student_realized_token_logprob_pre_update
